image_name,image_size,embedded_bits,capacity_bpp,extraction_success,psnr,correlation_h_enc,correlation_v_enc,entropy_enc,chi2_enc,npcr,uaci
5870.pgm,256x256,768,4.3608,TRUE,inf,0.004071373,0.006676992,7.997460325,231.6171875,93.2800293,2.226789886
5871.pgm,256x256,10646,4.1792,TRUE,inf,0.00533709,0.006176099,7.99691824,279.4765625,89.21356201,3.843054678
5872.pgm,256x256,4636,4.5842,TRUE,inf,0.007195209,0.008592022,7.997264771,246.703125,90.47546387,2.111894196
5873.pgm,256x256,8788,4.7642,TRUE,inf,0.003639312,0.001115241,7.997306916,243.9453125,87.79144287,1.954004624
5874.pgm,256x256,4793,3.7683,TRUE,inf,0.003195287,0.005632133,7.99727801,245.703125,93.31970215,4.197034649
5875.pgm,256x256,3584,2.9167,TRUE,inf,-0.0032263,0.002601343,7.997012682,272.484375,95.73974609,8.475617053
5876.pgm,256x256,9800,4.8396,TRUE,inf,0.005177515,0.004320279,7.99740059,236.2890625,86.98577881,1.929099887
5877.pgm,256x256,7789,3.8928,TRUE,inf,0.003735856,0.004477043,7.997632335,215.2890625,91.16363525,3.95249909
5878.pgm,256x256,8990,3.9907,TRUE,inf,0.005766359,0.009775668,7.997413676,235.875,90.4296875,3.920186361
5879.pgm,256x256,10053,4.8403,TRUE,inf,0.00152982,0.005479057,7.996922484,280.4453125,87.04223633,1.921554266
588.pgm,256x256,2931,3.5654,TRUE,inf,0.002539482,0.001192451,7.996688133,303.0546875,94.82879639,4.265555587
5880.pgm,256x256,14152,5.1272,TRUE,inf,0.006365537,0.007624795,7.99655852,309.4140625,84.46502686,1.81612501
5881.pgm,256x256,14117,5.842,TRUE,inf,0.003993659,0.004622507,7.99709572,264.6015625,79.18395996,0.89756386
5882.pgm,256x256,2468,4.3596,TRUE,inf,0.006432817,0.00363061,7.997135388,260.0078125,91.98150635,2.120714375
5883.pgm,256x256,8825,3.9534,TRUE,inf,0.003476485,0.007211233,7.997221512,251.796875,90.37475586,3.903084549
5884.pgm,256x256,3034,5.3752,TRUE,inf,0.002195136,0.004738277,7.9975699,221.7109375,85.93292236,1.051432292
5885.pgm,256x256,2096,5.3313,TRUE,inf,0.000822025,0.003761344,7.99727923,247.0703125,86.24420166,1.065961052
5886.pgm,256x256,6214,2.2949,TRUE,inf,0.004296684,0.002220991,7.997109482,262.2109375,94.58007813,16.27081179
5887.pgm,256x256,15145,5.1533,TRUE,inf,0.003598748,-0.001871568,7.997424091,234.1875,83.58459473,1.762438007
5888.pgm,256x256,3979,4.4912,TRUE,inf,0.003676856,0.002797179,7.997316574,243.109375,91.11938477,2.086085899
5889.pgm,256x256,6013,3.8242,TRUE,inf,0.002596789,0.000954621,7.997069189,266.5,92.51861572,4.079715504
589.pgm,256x256,8502,3.9883,TRUE,inf,0.008443607,0.005730487,7.997240479,251.1015625,90.89508057,3.913843491
5890.pgm,256x256,11208,4.9636,TRUE,inf,0.004549778,0.003854,7.997404815,235.9140625,86.2487793,1.888445686
5891.pgm,256x256,12250,5.7629,TRUE,inf,0.003113526,0.005628252,7.997023529,268.96875,80.44128418,0.927441167
5892.pgm,256x256,9938,3.2998,TRUE,inf,0.007019048,0.004377554,7.996881068,282.90625,91.14837646,7.638089049
5893.pgm,256x256,7009,4.6475,TRUE,inf,0.00675413,-0.001322441,7.996828285,287.9296875,88.93280029,2.018492456
5894.pgm,256x256,9410,3.9705,TRUE,inf,0.006301596,0.001715273,7.996807689,290.515625,89.85290527,3.841301413
5895.pgm,256x256,10832,3.4167,TRUE,inf,0.001800381,0.006054489,7.997428031,234.734375,90.54870605,7.646735696
5896.pgm,256x256,2254,3.6401,TRUE,inf,0.00337457,0.001030456,7.99714111,259.8046875,95.31402588,4.307203106
5897.pgm,256x256,9145,4.0195,TRUE,inf,0.005136318,0.000747785,7.997222676,251.1328125,90.51208496,3.870281145
5898.pgm,256x256,10625,4.8684,TRUE,inf,0.002303128,0.000232212,7.9974528,231.7109375,86.85455322,1.896224676
5899.pgm,256x256,325,4.2227,TRUE,inf,0.004669974,0.007305861,7.997364252,239.40625,93.39904785,2.175921272
59.pgm,256x256,4526,4.5317,TRUE,inf,0.003515305,0.001684546,7.997337905,240.046875,90.70281982,2.075255151
590.pgm,256x256,2615,2.7981,TRUE,inf,0.003050123,-0.003440638,7.997300815,245.171875,96.47064209,8.596706016
5900.pgm,256x256,9888,4.0164,TRUE,inf,0.003953921,0.006417474,7.997450965,230.09375,89.81170654,3.785741469
5901.pgm,256x256,4720,5.4077,TRUE,inf,0.007630142,-0.000594602,7.99692181,280.1484375,84.79003906,1.017432119
5902.pgm,256x256,11850,4.304,TRUE,inf,-0.000321988,0.001730128,7.997232348,251.125,88.31481934,3.709872377
5903.pgm,256x256,7582,1.6455,TRUE,inf,0.001823967,0.005529724,7.997082507,264.078125,93.82019043,31.59552481
5904.pgm,256x256,7925,5.5601,TRUE,inf,0.004032419,0.003289817,7.997224669,251.015625,83.04290771,0.975593118
5905.pgm,256x256,10614,4.0957,TRUE,inf,0.000211652,0.004022472,7.996827604,287.1640625,89.21661377,3.786525352
5906.pgm,256x256,6204,4.6428,TRUE,inf,0.00255968,0.010141659,7.996608608,307.2890625,89.62554932,2.036330279
5907.pgm,256x256,5076,4.5454,TRUE,inf,0.003465579,0.00147976,7.997013008,271.8046875,90.39459229,2.062868604
5908.pgm,256x256,2169,3.4897,TRUE,inf,0.004130399,0.00216204,7.99746567,230.0703125,95.23468018,4.321803673
5909.pgm,256x256,2634,4.4375,TRUE,inf,0.006546768,0.006612835,7.997469283,228.25,91.83959961,2.129115684
