Image,mean_zero_planes
1802.pgm,4.71844482421875
1803.pgm,4.67071533203125
1804.pgm,3.7047119140625
1805.pgm,5.16650390625
1806.pgm,5.13653564453125
1807.pgm,4.51416015625
1808.pgm,5.08929443359375
1809.pgm,5.16632080078125
181.pgm,5.734619140625
1810.pgm,4.9788818359375
1811.pgm,4.79583740234375
1812.pgm,4.76611328125
1813.pgm,3.4385986328125
1814.pgm,5.19915771484375
1815.pgm,3.46246337890625
1816.pgm,5.180908203125
1817.pgm,4.91693115234375
1818.pgm,5.23455810546875
1819.pgm,4.60333251953125
182.pgm,5.71429443359375
1820.pgm,4.53900146484375
1821.pgm,4.7467041015625
1822.pgm,4.85467529296875
1823.pgm,4.9173583984375
1824.pgm,4.73895263671875
1825.pgm,3.29876708984375
1826.pgm,5.05474853515625
1827.pgm,4.40460205078125
1828.pgm,4.83209228515625
1829.pgm,5.09783935546875
183.pgm,4.66656494140625
1830.pgm,4.42083740234375
1831.pgm,5.0970458984375
1832.pgm,4.76287841796875
1833.pgm,5.1080322265625
1834.pgm,4.14453125
1835.pgm,4.56011962890625
1836.pgm,4.34246826171875
1837.pgm,5.5712890625
1838.pgm,4.70855712890625
1839.pgm,4.949462890625
184.pgm,4.25787353515625
1840.pgm,4.47760009765625
1841.pgm,3.45098876953125
1842.pgm,5.15673828125
1843.pgm,4.85614013671875
1844.pgm,4.5970458984375
1845.pgm,4.8275146484375
1846.pgm,5.3521728515625
1847.pgm,4.2266845703125
1848.pgm,5.2265625
1849.pgm,4.30670166015625
185.pgm,3.43359375
1850.pgm,5.15325927734375
1851.pgm,6.09014892578125
1852.pgm,4.65191650390625
1853.pgm,4.856689453125
1854.pgm,5.63458251953125
