image_name,image_size,embedded_bits,capacity_bpp,extraction_success,psnr,correlation_h_enc,correlation_v_enc,entropy_enc,chi2_enc,npcr,uaci
6551.pgm,512x512,38054,4.0374,TRUE,inf,0.001281757,0.004019029,7.999414651,212.6015625,90.12565613,3.848504459
6552.pgm,512x512,37841,4.0967,TRUE,inf,-0.003070789,0.003382287,7.999325692,245.59375,90.09857178,3.862406413
6553.pgm,512x512,4243,4.3738,TRUE,inf,-0.000821838,0.003169354,7.999348807,236.1132813,92.97180176,2.198036044
6554.pgm,512x512,36072,4.7938,TRUE,inf,0.000443762,0.002370772,7.999353021,235.2167969,87.84599304,1.939272413
6555.pgm,512x512,42020,4.8871,TRUE,inf,0.000253653,0.004866524,7.999254958,270.5605469,86.71340942,1.902011049
6556.pgm,512x512,19528,4.5819,TRUE,inf,0.00110351,0.005481535,7.999329238,243.7363281,90.50331116,2.069791906
6557.pgm,512x512,60108,5.1293,TRUE,inf,0.00106973,0.003413744,7.99921672,284.6894531,83.57009888,1.752195171
6558.pgm,512x512,59364,5.1155,TRUE,inf,0.000152161,0.003062405,7.999309774,250.4648438,83.90312195,1.759576237
6559.pgm,512x512,61080,5.1422,TRUE,inf,-0.000247285,0.002961292,7.999301572,253.6621094,83.54415894,1.744109509
656.pgm,512x512,50819,4.2631,TRUE,inf,0.003743745,0.003428831,7.99925551,270.3222656,87.74337769,3.630825866
6560.pgm,512x512,24820,4.6745,TRUE,inf,-0.000451464,0.00165354,7.999364432,230.5605469,89.56947327,2.033143885
6561.pgm,512x512,17956,4.5833,TRUE,inf,-0.001387312,0.003741645,7.99936975,228.1914063,90.79246521,2.080422196
6562.pgm,512x512,16960,4.548,TRUE,inf,1.53E-05,0.002315746,7.999312838,249.3457031,90.96755981,2.085729861
6563.pgm,512x512,25452,4.6819,TRUE,inf,0.000366171,0.002330553,7.999183538,296.671875,89.43519592,2.020746867
6564.pgm,512x512,2564,4.3791,TRUE,inf,0.000853199,0.00367124,7.999233966,278.9179688,93.31283569,2.194815243
6565.pgm,512x512,19606,2.2135,TRUE,inf,5.82E-05,0.002808966,7.999347417,236.8886719,95.51544189,16.45309897
6566.pgm,512x512,39693,3.4337,TRUE,inf,7.22E-05,0.002748719,7.999261308,268.21875,91.17622375,7.594875261
6567.pgm,512x512,27768,3.1462,TRUE,inf,0.000253232,0.004171265,7.999309955,250.3886719,93.23768616,7.964808146
6568.pgm,512x512,44345,4.2115,TRUE,inf,-0.001807838,0.001970531,7.99933101,242.8027344,88.83705139,3.724407121
6569.pgm,512x512,27699,3.9067,TRUE,inf,-0.000596428,0.001678553,7.99926762,265.9316406,91.92428589,3.993352254
657.pgm,512x512,23488,2.8894,TRUE,inf,-0.000431671,0.001323746,7.999276232,263.2949219,94.03533936,8.056942809
6570.pgm,512x512,9912,4.4314,TRUE,inf,0.001272436,0.002056399,7.999191943,293.6503906,92.09365845,2.140803618
6571.pgm,512x512,44822,4.1805,TRUE,inf,-0.001685666,0.001211916,7.99930633,251.6328125,88.83781433,3.713924932
6572.pgm,512x512,19136,1.3734,TRUE,inf,0.000789219,0.002847743,7.999319275,247.6542969,95.9941864,32.92238572
6573.pgm,512x512,24170,1.4717,TRUE,inf,-0.000262714,0.002691863,7.999308707,251.2070313,95.01304626,32.35027388
6574.pgm,512x512,28016,2.4143,TRUE,inf,0.004065558,0.004041814,7.999323735,245.9921875,94.02732849,15.94292136
6575.pgm,512x512,47712,4.2736,TRUE,inf,0.001741521,0.005447047,7.999254908,270.9414063,88.32473755,3.68515613
6576.pgm,512x512,49955,4.3043,TRUE,inf,2.25E-05,0.004685221,7.999316516,248.71875,87.96920776,3.642917708
6577.pgm,512x512,14784,4.5475,TRUE,inf,-0.000757775,0.004461424,7.999296617,255.0839844,91.16134644,2.096976486
6578.pgm,512x512,52166,4.3483,TRUE,inf,-0.00121028,0.004606767,7.999223931,282.3964844,87.55836487,3.601416794
6579.pgm,512x512,46051,4.2302,TRUE,inf,-0.001021865,0.004502038,7.99928337,260.2617188,88.62686157,3.705779431
658.pgm,512x512,1535,4.2689,TRUE,inf,-0.001460272,0.004232594,7.999326258,244.65625,93.51272583,2.189244289
6580.pgm,512x512,49836,4.3222,TRUE,inf,-0.001136883,0.001958822,7.999339222,239.9628906,87.94631958,3.642717249
6581.pgm,512x512,46697,4.2573,TRUE,inf,-0.000829353,0.003790674,7.999278618,262.0585938,88.53149414,3.696109547
6582.pgm,512x512,41715,4.1878,TRUE,inf,0.000472359,0.004532364,7.999421536,210.0371094,89.41001892,3.769918704
6583.pgm,512x512,4995,3.543,TRUE,inf,-0.000212576,0.002809176,7.999404332,216.2421875,95.95603943,4.352799958
6584.pgm,512x512,51308,5.0026,TRUE,inf,0.000359068,0.002217201,7.999269883,265.9160156,85.1726532,1.813780841
6585.pgm,512x512,25460,4.6365,TRUE,inf,-0.000119311,0.005165831,7.999268256,265.5214844,89.47219849,2.01126697
6586.pgm,512x512,58420,5.1018,TRUE,inf,-0.000900334,0.003159033,7.999375795,226.6953125,83.91151428,1.766520481
6587.pgm,512x512,39844,4.8519,TRUE,inf,0.000198999,0.003109321,7.9993607,231.9589844,87.08686829,1.91064872
6588.pgm,512x512,14287,4.4994,TRUE,inf,-0.000250936,0.002775386,7.999411211,214.2070313,91.44935608,2.109475229
6589.pgm,512x512,7103,4.3962,TRUE,inf,-0.001313264,0.002631889,7.99934033,239.8789063,92.63267517,2.154624789
659.pgm,512x512,64985,5.2239,TRUE,inf,0.001010117,0.003339966,7.999290802,257.84375,82.837677,1.718449312
6590.pgm,512x512,55733,5.8416,TRUE,inf,0.00097557,0.006142053,7.999285759,259.6875,79.54673767,0.901459339
6591.pgm,512x512,69242,6.0078,TRUE,inf,0.00193795,0.00439439,7.999356424,233.7070313,77.68211365,0.860990636
6592.pgm,512x512,48714,5.7855,TRUE,inf,0.001319657,0.00363084,7.999263029,268.2988281,80.5557251,0.93363444
6593.pgm,512x512,244,5.2447,TRUE,inf,-6.70E-05,0.003521266,7.999185301,296.3125,87.41912842,1.092150819
6594.pgm,512x512,37975,4.8378,TRUE,inf,0.000857984,0.003492508,7.999207129,288.3144531,87.45231628,1.926326378
6595.pgm,512x512,12679,4.4537,TRUE,inf,0.000371246,0.003002275,7.999371165,229.1367188,91.51611328,2.113838944
6596.pgm,512x512,9728,4.4183,TRUE,inf,-0.000570479,0.003206998,7.999302372,253.3378906,92.08374023,2.135539335
6597.pgm,512x512,48656,4.9589,TRUE,inf,0.000324133,0.00514754,7.999205227,288.2421875,85.66703796,1.84151743
6598.pgm,512x512,52419,5.0145,TRUE,inf,-0.000305434,0.00540738,7.999302762,253.2480469,84.97962952,1.816020292
6599.pgm,512x512,58540,5.1135,TRUE,inf,0.001196715,0.003786482,7.999359824,232.6035156,83.84666443,1.775805903
66.pgm,512x512,60554,5.1675,TRUE,inf,-8.00E-05,0.003678331,7.999385029,223.8710938,83.6769104,1.758865656
660.pgm,512x512,7433,3.5005,TRUE,inf,0.001371824,0.001071622,7.999313793,249.9042969,95.55130005,4.393706976
6600.pgm,512x512,51880,5.029,TRUE,inf,-0.000400798,0.002825021,7.999300669,254.6035156,85.01777649,1.82829913
6601.pgm,512x512,6074,5.2912,TRUE,inf,0.000210409,0.003429863,7.999233724,277.8007813,86.58485413,1.064988679
6602.pgm,512x512,16845,2.8423,TRUE,inf,-0.002583851,0.003546254,7.999342632,238.9355469,95.30792236,8.31442889
6603.pgm,512x512,5305,3.3986,TRUE,inf,0.001277862,0.004698271,7.999303933,253.7226563,95.936203,4.358273674
6604.pgm,512x512,15763,3.5702,TRUE,inf,-0.000343071,0.002751131,7.999383515,223.9414063,94.0788269,4.178605921
6605.pgm,512x512,61428,5.1474,TRUE,inf,0.001185324,0.003780463,7.999180698,298.0410156,83.44764709,1.739329918
6606.pgm,512x512,50614,4.2218,TRUE,inf,-0.000784917,0.00408417,7.999353725,234.4570313,87.81661987,3.627272961
6607.pgm,512x512,38982,4.0692,TRUE,inf,0.001347934,0.002863196,7.999237172,277.0898438,89.90821838,3.802467795
