image_name,image_size,I_corr_h,I_corr_v,I_se,I_chi2,If_corr_h,If_corr_v,If_se,If_chi2,Im_corr_h,Im_corr_v,Im_se,Im_chi2,npcr_If_I,uaci_If_I,mae_If_I,npcr_Im_I,uaci_Im_I,mae_Im_I,npcr_Im_If,uaci_Im_If,mae_Im_If,embedded_bits,capacity_bpp,extraction_success,psnr_recovery
4484.pgm,256x256,0.923133,0.909525,7.407612,41124.63,0.00088,-0.002166,7.997352,240.93,0.000882,-0.002137,7.99743,233.59,99.5956,30.1691,76.9312,99.6033,30.1691,76.9313,5.3421,0.0209,0.0534,6982,2.2905,True,inf
4485.pgm,256x256,0.838003,0.777244,6.697906,127022.8,0.003462,0.004235,7.997193,253.8,0.00346,0.00423,7.997212,252.05,99.6536,28.184,71.8692,99.6536,28.184,71.8692,0.2701,0.0011,0.0027,328,2.4814,True,inf
4486.pgm,256x256,0.927764,0.958322,7.310366,84477.11,-0.003049,-0.001376,7.997079,264.85,-0.003046,-0.001385,7.997078,264.97,99.5575,32.7012,83.3882,99.559,32.7014,83.3887,2.9877,0.0117,0.0299,3882,2.874,True,inf
4487.pgm,256x256,0.986148,0.973734,7.545286,46098.25,0.005472,0.000884,7.996693,299.62,0.005476,0.000898,7.996746,294.91,99.5987,33.6317,85.7607,99.6048,33.6307,85.7583,5.3909,0.0211,0.0539,7173,3.8591,True,inf
4488.pgm,256x256,0.938276,0.916189,7.486986,44290.34,0.003581,-0.00941,7.997155,257.86,0.00361,-0.009412,7.997231,251.02,99.6078,29.2626,74.6196,99.6094,29.2629,74.6205,6.0883,0.0239,0.0609,7826,2.3845,True,inf
4489.pgm,256x256,0.889232,0.792959,7.070777,74905.66,-0.002634,0.004667,7.997079,264.86,-0.002624,0.004661,7.99696,275.52,99.5605,28.8856,73.6584,99.5651,28.8852,73.6573,4.7928,0.0188,0.0479,6212,2.2068,True,inf
449.pgm,256x256,0.985296,0.970877,7.578798,32621.05,0.002735,-0.001361,7.997232,250.89,0.002738,-0.00134,7.99727,248.22,99.6124,31.4209,80.1233,99.5987,31.4212,80.1241,8.7219,0.0342,0.0872,11240,4.979,True,inf
4490.pgm,256x256,0.988941,0.984378,7.263922,82954.75,0.003577,0.002163,7.997495,226.62,0.003582,0.002154,7.997501,225.64,99.6185,36.3154,92.6043,99.6216,36.3151,92.6035,7.9514,0.0312,0.0795,10355,4.1323,True,inf
4491.pgm,256x256,0.954864,0.944871,7.277189,70726.27,0.004525,0.003368,7.996872,283.44,0.004505,0.003353,7.996947,276.67,99.6033,29.8451,76.1051,99.6063,29.8453,76.1056,2.0462,0.008,0.0205,2725,2.6694,True,inf
4492.pgm,256x256,0.892878,0.885106,7.219929,58260.66,-0.004404,-0.00179,7.997199,253.88,-0.004423,-0.001776,7.997205,253.16,99.6185,31.0469,79.1697,99.6262,31.0475,79.1712,5.8853,0.0231,0.0589,7581,2.335,True,inf
4493.pgm,256x256,0.988929,0.985164,7.611328,28397.13,0.004999,0.00578,7.997218,252.41,0.004998,0.005792,7.997215,252.63,99.6231,29.6763,75.6747,99.6216,29.6762,75.6743,1.4297,0.0056,0.0143,1824,4.3435,True,inf
